Category,Descript,DayOfWeek,PdDistrict,Resolution,Address,X,Y,Date,Time,Time_in_Seconds,Cluster
SECONDARY CODES,DOMESTIC VIOLENCE,Wednesday,INGLESIDE,NONE,0 Block of ANKENY ST,-122.403816989822,37.7186430050308,2013-10-02,13:30:00,48600,0
VEHICLE THEFT,STOLEN AUTOMOBILE,Sunday,INGLESIDE,NONE,TEDDY AV / ELLIOT ST,-122.410739026831,37.7157395938027,2012-06-17,23:00:00,82800,0
MISSING PERSON,FOUND PERSON,Tuesday,TARAVAL,NONE,0 Block of JULES AV,-122.461163238283,37.7191248815986,2005-04-05,18:00:00,64800,1
LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Thursday,SOUTHERN,NONE,300 Block of 2ND ST,-122.396251395987,37.7852582857699,2003-03-20,11:30:00,41400,3
WARRANTS,WARRANT ARREST,Thursday,NORTHERN,"ARREST, BOOKED",REDWOOD ST / POLK ST,-122.418711104991,37.7807726314915,2015-04-30,13:48:00,49680,3
LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Friday,CENTRAL,NONE,100 Block of PINE ST,-122.39917586353998,37.7922774162948,2009-03-20,12:45:00,45900,3
DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Thursday,BAYVIEW,"ARREST, BOOKED",4700 Block of 3RD ST,-122.390689582557,37.735217228007706,2003-04-03,13:17:00,47820,0
ASSAULT,BATTERY,Wednesday,INGLESIDE,NONE,200 Block of BLYTHDALE AV,-122.420529801066,37.7110023300609,2014-01-22,18:25:00,66300,0
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,SOUTHERN,NONE,500 Block of 4TH ST,-122.397251222589,37.7789803526172,2009-12-21,11:00:00,39600,3
BURGLARY,"BURGLARY, HOT PROWL, UNLAWFUL ENTRY",Friday,CENTRAL,NONE,400 Block of LOMBARD ST,-122.408973544798,37.803387055377705,2011-10-07,01:45:00,6300,2
WARRANTS,WARRANT ARREST,Sunday,MISSION,"ARREST, BOOKED",2300 Block of 16TH ST,-122.409529913278,37.7657184395282,2008-06-01,17:00:00,61200,3
SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Friday,BAYVIEW,NONE,300 Block of GIRARD ST,-122.404903343063,37.7279456314778,2006-02-24,09:20:00,33600,0
VEHICLE THEFT,STOLEN AND RECOVERED VEHICLE,Saturday,INGLESIDE,NONE,100 Block of PUTNAM ST,-122.410870700008,37.7375262998312,2008-12-13,19:00:00,68400,0
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Wednesday,SOUTHERN,"ARREST, CITED",MISSION ST / 9TH ST,-122.414714295586,37.7762310404529,2004-08-04,11:50:00,42600,3
ASSAULT,BATTERY,Wednesday,BAYVIEW,JUVENILE ADMONISHED,600 Block of VERMONT ST,-122.404126459271,37.7614652487171,2008-04-02,11:15:00,40500,0
FRAUD,DEFRAUDING AN INNKEEPER,Sunday,NORTHERN,NOT PROSECUTED,2200 Block of UNION ST,-122.436340530766,37.79703639636929,2006-04-23,15:50:00,57000,3
FRAUD,"FALSE PRETENSES, GRAND THEFT",Monday,BAYVIEW,NOT PROSECUTED,2700 Block of OAKDALE AV,-122.403846827146,37.7423278356202,2005-04-04,11:00:00,39600,0
DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Tuesday,TENDERLOIN,NONE,LEAVENWORTH ST / ELLIS ST,-122.41443315507,37.7846576329026,2005-07-26,09:20:00,33600,2
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Tuesday,CENTRAL,NONE,VANNESS AV / BAY ST,-122.42511061323098,37.80414615262,2011-02-22,20:30:00,73800,3
MISSING PERSON,MISSING JUVENILE,Tuesday,BAYVIEW,LOCATED,0 Block of LEDYARD ST,-122.402116556292,37.7332354676556,2012-03-06,12:00:00,43200,0
OTHER OFFENSES,"STAY AWAY ORDER VIOLATION, DV RELATED",Sunday,SOUTHERN,"ARREST, BOOKED",800 Block of BRYANT ST,-122.403404791479,37.775420706711,2013-12-29,12:14:00,44040,3
SECONDARY CODES,DOMESTIC VIOLENCE,Monday,SOUTHERN,"ARREST, BOOKED",1500 Block of MISSION ST,-122.417975390351,37.7737509379648,2011-01-10,14:02:00,50520,3
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Sunday,SOUTHERN,NONE,200 Block of MAIN ST,-122.392667454728,37.789940419910295,2014-02-09,00:47:00,2820,2
LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,Wednesday,RICHMOND,NONE,1000 Block of CLEMENT ST,-122.470322318777,37.7827315132733,2012-10-03,15:00:00,54000,1
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Sunday,SOUTHERN,NONE,600 Block of BRANNAN ST,-122.399841045579,37.77563278642821,2012-10-07,00:53:00,3180,2
OTHER OFFENSES,OBSTRUCTIONS ON STREETS/SIDEWALKS,Friday,SOUTHERN,"ARREST, BOOKED",100 Block of SOUTH VAN NESS AV,-122.41793840790702,37.77054137692421,2004-05-28,12:36:00,45360,3
ARSON,ARSON OF A VACANT BUILDING,Monday,INGLESIDE,NONE,0 Block of MELROSE AV,-122.44318148994,37.7337779831808,2011-07-11,02:26:00,8760,1
ASSAULT,"BATTERY, FORMER SPOUSE OR DATING RELATIONSHIP",Friday,BAYVIEW,NONE,700 Block of KIRKWOOD AV,-122.374019331833,37.729203356539,2011-06-03,18:40:00,67200,0
LARCENY/THEFT,GRAND THEFT FROM PERSON,Tuesday,CENTRAL,NONE,STOCKTON ST / PACIFIC AV,-122.408433097286,37.7967039278443,2007-07-24,08:30:00,30600,2
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,SOUTHERN,NONE,700 Block of BRANNAN ST,-122.402517136292,37.77367244915771,2003-07-21,19:30:00,70200,3
BURGLARY,"BURGLARY OF WAREHOUSE, FORCIBLE ENTRY",Wednesday,SOUTHERN,NONE,1000 Block of MARKET ST,-122.411339562557,37.7812707434494,2005-07-27,00:01:00,60,2
NON-CRIMINAL,SHELTER,Thursday,BAYVIEW,CLEARED-CONTACT JUVENILE FOR MORE INFO,1100 Block of CONNECTICUT ST,-122.396528521452,37.7517298311377,2003-10-16,00:01:00,60,2
ASSAULT,BATTERY OF A POLICE OFFICER,Thursday,BAYVIEW,"ARREST, CITED",4800 Block of 3RD ST,-122.390965298144,37.7344291807899,2011-12-15,09:03:00,32580,0
OTHER OFFENSES,PROBATION VIOLATION,Wednesday,TENDERLOIN,"ARREST, BOOKED",0 Block of TURK ST,-122.409853729941,37.7833862379382,2013-11-27,17:10:00,61800,3
NON-CRIMINAL,LOST PROPERTY,Thursday,SOUTHERN,NONE,1000 Block of MISSION ST,-122.40989282029,37.7801134973164,2012-01-12,22:00:00,79200,3
OTHER OFFENSES,OBSCENE PHONE CALLS(S),Saturday,CENTRAL,NONE,900 Block of COLUMBUS AV,-122.414354301151,37.8031089840376,2004-07-24,09:00:00,32400,2
DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Friday,TENDERLOIN,"ARREST, BOOKED",300 Block of ELLIS ST,-122.411965795229,37.78491418595621,2007-05-18,12:01:00,43260,3
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,MISSION,NONE,300 Block of 14TH ST,-122.421797245093,37.7681088832674,2014-07-22,18:00:00,64800,3
BURGLARY,"BURGLARY, UNLAWFUL ENTRY",Thursday,SOUTHERN,"ARREST, BOOKED",1100 Block of MARKET ST,-122.413564091744,37.779514030063,2007-11-15,20:45:00,74700,3
BURGLARY,"BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY",Wednesday,PARK,NONE,1700 Block of MCALLISTER ST,-122.440879521853,37.77753219352179,2011-04-06,14:30:00,52200,1
LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Tuesday,SOUTHERN,NONE,800 Block of BRYANT ST,-122.403404791479,37.775420706711,2007-09-18,10:00:00,36000,2
NON-CRIMINAL,LOST PROPERTY,Saturday,NORTHERN,NONE,LARKIN ST / EDDY ST,-122.41753069698,37.78331075399689,2012-02-11,12:00:00,43200,3
LARCENY/THEFT,GRAND THEFT FROM A BUILDING,Saturday,MISSION,NONE,3300 Block of 16TH ST,-122.428118045606,37.7645957855295,2013-09-21,18:30:00,66600,1
NON-CRIMINAL,AIDED CASE,Tuesday,SOUTHERN,NONE,800 Block of BRYANT ST,-122.403404791479,37.775420706711,2012-10-02,04:04:00,14640,2
ROBBERY,ROBBERY ON THE STREET WITH A DANGEROUS WEAPON,Wednesday,TENDERLOIN,NONE,300 Block of LEAVENWORTH ST,-122.414406029855,37.7841907151119,2006-12-27,08:30:00,30600,2
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Tuesday,SOUTHERN,PSYCHOPATHIC CASE,800 Block of MARKET ST,-122.407633520742,37.7841893501425,2009-04-14,15:15:00,54900,3
VEHICLE THEFT,STOLEN TRUCK,Saturday,INGLESIDE,NONE,200 Block of ATHENS ST,-122.426726019084,37.7239973136765,2003-05-17,15:00:00,54000,0
VEHICLE THEFT,STOLEN AUTOMOBILE,Sunday,NORTHERN,NONE,400 Block of FELL ST,-122.425225538054,37.7756912449511,2008-07-27,14:00:00,50400,3
ASSAULT,ASSAULT WITH CAUSTIC CHEMICALS,Wednesday,BAYVIEW,"ARREST, BOOKED",1300 Block of REVERE AV,-122.385545453301,37.728979731984,2011-03-09,09:34:00,34440,0
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Sunday,SOUTHERN,NONE,100 Block of 4TH ST,-122.40316136589,37.7836909533775,2012-11-18,19:00:00,68400,3
OTHER OFFENSES,OBSCENE PHONE CALLS(S),Thursday,SOUTHERN,NONE,800 Block of BRYANT ST,-122.403404791479,37.775420706711,2003-10-30,16:54:00,60840,3
ASSAULT,"BATTERY, FORMER SPOUSE OR DATING RELATIONSHIP",Wednesday,INGLESIDE,"ARREST, BOOKED",500 Block of PRENTISS ST,-122.412223978237,37.736395364488295,2011-01-26,13:50:00,49800,0
VEHICLE THEFT,STOLEN TRUCK,Wednesday,BAYVIEW,UNFOUNDED,200 Block of PAUL AV,-122.397988272381,37.723007833642896,2006-03-22,10:00:00,36000,0
MISSING PERSON,MISSING ADULT,Tuesday,RICHMOND,NONE,0 Block of WOOD ST,-122.448721901361,37.783785017246,2013-12-10,16:00:00,57600,1
LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Tuesday,MISSION,"ARREST, BOOKED",1800 Block of FOLSOM ST,-122.415605496237,37.767717752066496,2006-05-02,15:30:00,55800,3
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Friday,PARK,NONE,0 Block of NOE ST,-122.433419665092,37.7683076620028,2013-05-31,11:35:00,41700,1
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,SOUTHERN,NONE,400 Block of SPEAR ST,-122.388888409512,37.7883279710132,2013-04-19,09:05:00,32700,2
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Wednesday,MISSION,NONE,2300 Block of 16TH ST,-122.409529913278,37.7657184395282,2007-04-18,16:16:00,58560,3
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Monday,TARAVAL,NONE,300 Block of SANTAANA AV,-122.468062140386,37.7306481409074,2010-08-23,10:00:00,36000,1
SUSPICIOUS OCC,INVESTIGATIVE DETENTION,Thursday,NORTHERN,UNFOUNDED,1000 Block of POST ST,-122.419126295342,37.7869849580362,2013-11-28,18:35:00,66900,3
LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Wednesday,MISSION,NONE,300 Block of VALENCIA ST,-122.422158110393,37.7670020286478,2012-08-08,17:15:00,62100,3
OTHER OFFENSES,FALSE PERSONATION,Tuesday,MISSION,NONE,2600 Block of 19TH ST,-122.408552561609,37.7605167249431,2012-04-03,18:00:00,64800,3
SECONDARY CODES,DOMESTIC VIOLENCE,Sunday,INGLESIDE,NONE,1800 Block of CHURCH ST,-122.42679961735,37.7408779454292,2010-11-07,07:00:00,25200,0
FORGERY/COUNTERFEITING,FORGERY & COUNTERFEITING (GENERAL),Monday,MISSION,NONE,3100 Block of 18TH ST,-122.41452044649598,37.76218311024579,2011-06-13,05:30:00,19800,2
MISSING PERSON,MISSING JUVENILE,Tuesday,INGLESIDE,LOCATED,100 Block of HIGHLAND AV,-122.422067184937,37.737362360521296,2005-10-04,20:30:00,73800,0
WARRANTS,ENROUTE TO DEPARTMENT OF CORRECTIONS,Thursday,TENDERLOIN,"ARREST, BOOKED",100 Block of LEAVENWORTH ST,-122.413893155951,37.782346520673,2013-12-26,15:37:00,56220,3
LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Thursday,CENTRAL,NONE,2500 Block of TAYLOR ST,-122.415270023651,37.8058980113661,2013-07-25,11:20:00,40800,3
MISSING PERSON,MISSING ADULT,Sunday,TARAVAL,LOCATED,0 Block of JULES AV,-122.461163238283,37.7191248815986,2007-03-11,23:00:00,82800,1
OTHER OFFENSES,PEDDLING WITHOUT A LICENSE,Sunday,SOUTHERN,"ARREST, BOOKED",800 Block of BRYANT ST,-122.403404791479,37.775420706711,2010-03-28,14:15:00,51300,3
NON-CRIMINAL,FOUND PROPERTY,Wednesday,NORTHERN,NONE,100 Block of SANCHEZ ST,-122.431083812685,37.7671998905043,2014-05-14,11:25:00,41100,1
MISSING PERSON,MISSING ADULT,Monday,BAYVIEW,LOCATED,1700 Block of NEWCOMB AV,-122.392643753605,37.736784880051296,2006-10-16,18:30:00,66600,0
BURGLARY,"BURGLARY OF RESIDENCE, UNLAWFUL ENTRY",Sunday,MISSION,NONE,0 Block of RONDEL PL,-122.421249543257,37.7643357809244,2005-06-19,00:01:00,60,2
BURGLARY,"BURGLARY OF HOTEL ROOM, UNLAWFUL ENTRY",Wednesday,SOUTHERN,NONE,1600 Block of MARKET ST,-122.421619493654,37.773433937273005,2007-06-27,17:00:00,61200,3
PROSTITUTION,PLACING WIFE IN HOUSE OF PROSTITUTION,Tuesday,MISSION,"ARREST, BOOKED",3000 Block of 21ST ST,-122.415089059899,37.7573197989318,2008-04-15,03:39:00,13140,2
SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Friday,RICHMOND,NONE,3700 Block of WASHINGTON ST,-122.454774651519,37.788937252635705,2011-04-22,15:52:00,57120,1
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,SOUTHERN,NONE,0 Block of BERNICE ST,-122.414029805255,37.7699728175044,2009-08-21,19:00:00,68400,3
VEHICLE THEFT,STOLEN AUTOMOBILE,Monday,RICHMOND,NONE,3000 Block of CALIFORNIA ST,-122.444582631291,37.78748644540861,2012-04-02,09:00:00,32400,1
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Saturday,SOUTHERN,NONE,800 Block of BRYANT ST,-122.403404791479,37.775420706711,2014-02-22,20:00:00,72000,3
OTHER OFFENSES,VIOLATION OF MUNICIPAL CODE,Wednesday,TENDERLOIN,"ARREST, BOOKED",HYDE ST / TURK ST,-122.415694922134,37.7825851968467,2013-12-11,00:39:00,2340,2
ASSAULT,"RESISTING PEACE OFFICER, CAUSING THEIR SERIOUS INJURY OR DEATH",Monday,MISSION,"ARREST, BOOKED",300 Block of POTRERO AV,-122.407544906452,37.7651192951994,2012-12-10,14:52:00,53520,3
DISORDERLY CONDUCT,MAINTAINING A PUBLIC NUISANCE AFTER NOTIFICATION,Tuesday,MISSION,"ARREST, BOOKED",SOUTH VAN NESS AV / 17TH ST,-122.417332582598,37.7635718955939,2003-07-08,23:09:00,83340,3
SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Saturday,CENTRAL,NONE,BROADWAY ST / STOCKTON ST,-122.408622974321,37.7976265594608,2012-06-30,03:30:00,12600,2
OTHER OFFENSES,VIOLATION OF MUNICIPAL CODE,Monday,TENDERLOIN,"ARREST, CITED",300 Block of LEAVENWORTH ST,-122.414269361877,37.7842081124308,2009-04-13,07:00:00,25200,2
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Saturday,CENTRAL,"ARREST, CITED",BROADWAY ST / MONTGOMERY ST,-122.403864541976,37.798222643742704,2012-10-06,22:50:00,82200,3
OTHER OFFENSES,OBSCENE PHONE CALLS(S),Thursday,MISSION,NONE,2200 Block of MARKET ST,-122.432198022433,37.7651107322703,2009-11-12,09:55:00,35700,1
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Saturday,MISSION,NONE,2300 Block of BRYANT ST,-122.409592107162,37.7567758426549,2012-08-25,22:00:00,79200,3
NON-CRIMINAL,"AIDED CASE, INJURED PERSON",Sunday,MISSION,UNFOUNDED,TREAT AV / ALAMEDA ST,-122.412424364002,37.7680741693848,2015-02-22,07:35:00,27300,2
LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Tuesday,SOUTHERN,"ARREST, CITED",900 Block of MARKET ST,-122.408421116922,37.7835699386918,2003-09-16,16:05:00,57900,3
OTHER OFFENSES,MISCELLANEOUS INVESTIGATION,Sunday,INGLESIDE,NONE,900 Block of MONTEREY BL,-122.457040369613,37.730990568835296,2009-03-22,05:54:00,21240,1
NON-CRIMINAL,FOUND PROPERTY,Sunday,INGLESIDE,NONE,CONRAD ST / ARBOR ST,-122.436284741983,37.737322745493294,2015-02-22,11:30:00,41400,1
LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Thursday,SOUTHERN,NONE,300 Block of 5TH ST,-122.402142725311,37.7791933366389,2003-11-13,21:00:00,75600,3
DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Tuesday,MISSION,"ARREST, CITED",25TH ST / TREAT AV,-122.412838554026,37.7509678760804,2003-01-21,10:33:00,37980,0
LARCENY/THEFT,ATTEMPTED SHOPLIFTING,Wednesday,SOUTHERN,NONE,800 Block of MARKET ST,-122.406690592261,37.7852071918419,2015-01-21,15:24:00,55440,3
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,TENDERLOIN,NONE,500 Block of JONES ST,-122.413135715743,37.7862599043196,2011-10-17,11:00:00,39600,2
LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Sunday,SOUTHERN,"ARREST, BOOKED",100 Block of WELSH ST,-122.399429779768,37.777712446136,2012-12-30,00:01:00,60,2
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Tuesday,BAYVIEW,"ARREST, CITED",3500 Block of 3RD ST,-122.387365608742,37.74467857519221,2014-02-04,07:45:00,27900,0
VEHICLE THEFT,STOLEN AUTOMOBILE,Saturday,BAYVIEW,NONE,2900 Block of KEITH ST,-122.395149150733,37.722871905668704,2005-02-26,16:00:00,57600,0
OTHER OFFENSES,MISCELLANEOUS INVESTIGATION,Sunday,MISSION,NONE,16TH ST / MISSION ST,-122.419671780296,37.7650501214668,2006-11-05,11:08:00,40080,2
NON-CRIMINAL,AIDED CASE,Thursday,CENTRAL,PROSECUTED BY OUTSIDE AGENCY,200 Block of GEARY ST,-122.407434989523,37.787515874162295,2013-10-17,11:47:00,42420,3
BAD CHECKS,"CHECKS, NON-SUFFICIENT FUNDS (MISDEMEANOR)",Friday,CENTRAL,NOT PROSECUTED,0 Block of CALIFORNIA ST,-122.397010347798,37.7936404234689,2007-08-24,12:00:00,43200,3
VEHICLE THEFT,STOLEN TRUCK,Sunday,PARK,NONE,DIVISADERO ST / ELLIS ST,-122.439115673087,37.7815210740947,2007-09-23,12:00:00,43200,1
BURGLARY,"BURGLARY, HOT PROWL, UNLAWFUL ENTRY",Saturday,NORTHERN,"ARREST, BOOKED",1700 Block of GOUGH ST,-122.425589711464,37.7894737910387,2013-01-12,03:45:00,13500,2
WARRANTS,WARRANT ARREST,Sunday,PARK,"ARREST, BOOKED",HAIGHT ST / SHRADER ST,-122.451864552636,37.7693505381781,2012-03-25,16:15:00,58500,1
ASSAULT,BATTERY,Sunday,NORTHERN,NONE,800 Block of LARKIN ST,-122.418110537872,37.7858627664608,2013-12-01,14:00:00,50400,3
ASSAULT,AGGRAVATED ASSAULT WITH A KNIFE,Saturday,TENDERLOIN,"ARREST, BOOKED",300 Block of ELLIS ST,-122.411965795229,37.78491418595621,2003-09-06,08:37:00,31020,2
ASSAULT,ATTEMPTED HOMICIDE WITH BODILY FORCE,Friday,NORTHERN,"ARREST, BOOKED",900 Block of LARKIN ST,-122.418156523953,37.7868103734135,2015-04-03,15:48:00,56880,3
SEX OFFENSES FORCIBLE,SEXUAL BATTERY,Friday,CENTRAL,"ARREST, BOOKED",300 Block of BROADWAY ST,-122.40367998233,37.7981913307058,2003-12-12,16:00:00,57600,3
VEHICLE THEFT,STOLEN AUTOMOBILE,Friday,TENDERLOIN,NONE,500 Block of HYDE ST,-122.416459785313,37.7860170554787,2013-01-25,14:00:00,50400,3
VEHICLE THEFT,STOLEN AUTOMOBILE,Thursday,RICHMOND,NONE,BRODERICK ST / SACRAMENTO ST,-122.442299307878,37.7887809812133,2004-07-08,10:00:00,36000,1
LARCENY/THEFT,PETTY THEFT OF PROPERTY,Monday,SOUTHERN,NONE,0 Block of HOWARD ST,-122.392134062208,37.7916972492914,2014-04-28,01:00:00,3600,2
LARCENY/THEFT,PETTY THEFT OF PROPERTY,Sunday,SOUTHERN,NONE,700 Block of MARKET ST,-122.405359371753,37.7859774761625,2009-10-18,12:35:00,45300,3
STOLEN PROPERTY,"STOLEN PROPERTY, POSSESSION WITH KNOWLEDGE, RECEIVING",Wednesday,TARAVAL,"ARREST, BOOKED",300 Block of RANDOLPH ST,-122.465757150563,37.714228536469896,2014-08-20,16:01:00,57660,1
LARCENY/THEFT,GRAND THEFT BICYCLE,Sunday,TARAVAL,NONE,LINCOLN WY / 9TH AV,-122.46644268420602,37.7659245297691,2006-08-13,12:00:00,43200,1
ROBBERY,ROBBERY OF A COMMERCIAL ESTABLISHMENT W/ WEAPON,Wednesday,NORTHERN,NONE,1600 Block of POLK ST,-122.421033090567,37.79193935048,2008-06-25,03:05:00,11100,2
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Monday,INGLESIDE,NONE,1000 Block of BOSWORTH ST,-122.438808662559,37.7343842612378,2013-10-28,21:30:00,77400,1
NON-CRIMINAL,LOST PROPERTY,Thursday,SOUTHERN,NONE,HOWARD ST / 4TH ST,-122.402712593282,37.783259654397895,2015-01-22,09:00:00,32400,2
VEHICLE THEFT,STOLEN AUTOMOBILE,Thursday,PARK,NONE,100 Block of CORBETT AV,-122.440648159209,37.7618455002584,2009-04-16,18:00:00,64800,1
ASSAULT,BATTERY WITH SERIOUS INJURIES,Friday,SOUTHERN,"ARREST, BOOKED",800 Block of BRYANT ST,-122.403404791479,37.775420706711,2011-08-26,20:06:00,72360,3
NON-CRIMINAL,LOST PROPERTY,Sunday,SOUTHERN,NONE,800 Block of BRYANT ST,-122.403404791479,37.775420706711,2006-06-18,19:00:00,68400,3
WARRANTS,WARRANT ARREST,Tuesday,MISSION,"ARREST, BOOKED",21ST ST / HAMPSHIRE ST,-122.40775651157,37.7577060395772,2003-04-15,08:53:00,31980,2
OTHER OFFENSES,OBSTRUCTIONS ON STREETS/SIDEWALKS,Sunday,SOUTHERN,"ARREST, BOOKED",400 Block of BRANNAN ST,-122.395985970867,37.77883482056821,2005-01-30,07:18:00,26280,2
NON-CRIMINAL,COURTESY REPORT,Monday,SOUTHERN,"ARREST, BOOKED",200 Block of 6TH ST,-122.406346425632,37.7791674218963,2008-09-01,13:59:00,50340,3
SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Tuesday,BAYVIEW,NONE,0 Block of LEDYARD ST,-122.402116556292,37.7332354676556,2012-05-29,01:00:00,3600,2
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Sunday,NORTHERN,"ARREST, CITED",1600 Block of POST ST,-122.428992673997,37.7857262026184,2007-07-29,10:55:00,39300,2
WARRANTS,ENROUTE TO DEPARTMENT OF CORRECTIONS,Thursday,PARK,"ARREST, BOOKED",HAIGHT ST / STANYAN ST,-122.45353456066002,37.76916629780521,2006-03-23,14:37:00,52620,1
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Saturday,RICHMOND,"ARREST, BOOKED",2400 Block of BUSH ST,-122.437596963153,37.7865485866412,2008-05-17,14:40:00,52800,1
LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Tuesday,SOUTHERN,NONE,JESSIE ST / 6TH ST,-122.409247675547,37.7813987340892,2014-02-18,13:40:00,49200,3
DRUG/NARCOTIC,SALE OF BASE/ROCK COCAINE,Tuesday,NORTHERN,"ARREST, BOOKED",800 Block of OFARRELL ST,-122.418729600557,37.785007503993,2011-09-20,20:40:00,74400,3
VEHICLE THEFT,STOLEN TRUCK,Friday,MISSION,NONE,2100 Block of MARKET ST,-122.430018655242,37.7668305229582,2008-01-25,23:30:00,84600,1
BURGLARY,"BURGLARY,STORE UNDER CONSTRUCTION, UNLAWFUL ENTRY",Wednesday,CENTRAL,NONE,300 Block of SANSOME ST,-122.401201213588,37.7937743739296,2015-01-21,17:05:00,61500,3
ROBBERY,ROBBERY ON THE STREET WITH A KNIFE,Sunday,MISSION,"ARREST, BOOKED",300 Block of BARTLETT ST,-122.419545976524,37.75135238699001,2010-01-17,02:15:00,8100,2
MISSING PERSON,FOUND PERSON,Thursday,SOUTHERN,NONE,200 Block of 2ND ST,-122.396920775993,37.7857918163181,2010-06-17,04:00:00,14400,2
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,SOUTHERN,NONE,1100 Block of HOWARD ST,-122.409703678335,37.7778041541706,2008-08-24,00:40:00,2400,2
